bin,n,ent_min,ent_max,mean_tvd,median_tvd,max_tvd,mean_jsd,median_jsd,max_jsd,n_maj_changed,mean_abs_d_yes
low,118,0.2746130433498312,0.9600119471941029,0.012810575465598202,0.01149155722326455,0.035334584115071926,0.0007703040531626178,0.00034288654642550265,0.008705679462497673,0,0.009221865360765732
medium,115,0.961351480531629,1.207241867301097,0.01580403513065231,0.014853033145716059,0.04330831769856158,0.00043987830178211215,0.0003241567917586785,0.001927692536682457,0,0.012108111047665657
high,117,1.2094926869599065,1.4644154048438773,0.018099586814408576,0.01727642276422762,0.04338649155722325,0.0004365225972579871,0.00037432986160457205,0.002008105893700707,9,0.01431450211938016
