scheme,n_cells,min_cell,n_raters,obs_tvd,obs_jsd,null_tvd,null_sd,excess,z,cells
race3 x gender2 (White/Black/Asian),6,10,85,0.2031509973686444,0.08059896483521611,0.16559215587408807,0.010411116036874318,0.03755884149455632,3.6075711154817216,Asian-Man|Asian-Woman|Black-Man|Black-Woman|White-Man|White-Woman
gender2 x age3,6,14,123,0.16155806610589907,0.051053840507271096,0.13958890720659062,0.007889028475648253,0.02196915889930845,2.7847736850136307,Man-gen x+|Man-gen z|Man-millenial|Woman-gen x+|Woman-gen z|Woman-millenial
gender2,2,61,123,0.09170129183349701,0.01712102636575213,0.0779352013296064,0.00938092936178244,0.013766090503890618,1.4674548728586703,Man|Woman
race3 (White/Black/Asian only),3,26,85,0.12886800555766073,0.03318464236255468,0.11503089773062186,0.011256540790343663,0.01383710782703887,1.2292504495616385,Asian|Black|White
race5 (all race groups),5,16,123,0.1383502402769644,0.03826389438971042,0.1274861059704663,0.009014260091294923,0.010864134306498102,1.2052164233634222,"Asian/Asian subcontinent|Black/African American|LatinX, Latino, Hispanic or Spanish Origin|Multiracial|White"
age3,3,31,123,0.09602607709750569,0.019276214030432632,0.09948588471947918,0.009322433710770432,-0.003459807621973496,-0.37112708218845225,gen x+|gen z|millenial
