grouping,tvd_all,tvd_kept,delta,nullB_mean,nullB_sd,nullB_lo,nullB_hi,z,p_perm,n_perm
race3 x gender2 (6 chosen cells),0.2031509973686444,0.20900321239606953,0.0058522150274251394,0.010915944398951452,0.011933669727028274,-0.010464052772624147,0.03720386204598389,-0.42432290212101287,0.6416,5000
gender2,0.09170129183349701,0.0818567695835333,-0.00984452224996371,0.006058204487952758,0.0075835195103646355,-0.006800142621998184,0.02316945465087321,-2.0970113831950603,0.0366,5000
race5,0.1383502402769644,0.15418528593559647,0.015835045658632058,0.010309798825868324,0.0064277776069806775,-0.0007110095077336474,0.02453123636771643,0.859588985587059,0.3796,5000
age3 (NEGATIVE CONTROL),0.09602607709750569,0.10714663643235071,0.011120559334845029,0.00895452248784086,0.0038126135271045725,0.0028368572808261535,0.017816135204081603,0.5681238949621865,0.5534,5000
