grouping,split,level,n_items,tvd_all,tvd_kept,delta
race3 x gender2 (6 chosen cells),ent_bin,low,118,0.17345414514033655,0.17029022060801718,-0.0031639245323193677
race3 x gender2 (6 chosen cells),ent_bin,medium,115,0.20302069150245214,0.21160225442834138,0.008581562925889241
race3 x gender2 (6 chosen cells),ent_bin,high,117,0.233229747262255,0.24549247049247055,0.012262723230215544
race3 x gender2 (6 chosen cells),degree_of_harm,Extreme,199,0.20305092440027953,0.20923400069128714,0.0061830762910076165
race3 x gender2 (6 chosen cells),degree_of_harm,Moderate,98,0.20957109957220524,0.21665249433106576,0.007081394758860521
race3 x gender2 (6 chosen cells),degree_of_harm,Benign,31,0.18298291513961143,0.178752773510838,-0.004230141628773443
race3 x gender2 (6 chosen cells),degree_of_harm,Debatable,22,0.20387622708935685,0.21546717171717178,0.01159094462781493
